regulator	target	mor	likelihood
E2F1_UP.V1_DN	TUBG2	1	1
E2F1_UP.V1_DN	PKD1	1	1
E2F1_UP.V1_DN	APBB1IP	1	1
E2F1_UP.V1_DN	MDN1	1	1
E2F1_UP.V1_DN	SLPI	1	1
E2F1_UP.V1_DN	EFNA4	1	1
E2F1_UP.V1_DN	ST3GAL4	1	1
E2F1_UP.V1_DN	NHSL1	1	1
E2F1_UP.V1_DN	IL18	1	1
E2F1_UP.V1_DN	LGALS2	1	1
E2F1_UP.V1_DN	XPR1	1	1
E2F1_UP.V1_DN	ALDH1A1	1	1
E2F1_UP.V1_DN	C11orf83	1	1
E2F1_UP.V1_DN	C3	1	1
E2F1_UP.V1_DN	C11orf34	1	1
E2F1_UP.V1_DN	PPP3CA	1	1
E2F1_UP.V1_DN	ADARB1	1	1
E2F1_UP.V1_DN	TRIB3	1	1
E2F1_UP.V1_DN	PDE4DIP	1	1
E2F1_UP.V1_DN	TSHR	1	1
E2F1_UP.V1_DN	AMPD3	1	1
E2F1_UP.V1_DN	FER	1	1
E2F1_UP.V1_DN	ANXA1	1	1
E2F1_UP.V1_DN	STOM	1	1
E2F1_UP.V1_DN	C5orf41	1	1
E2F1_UP.V1_DN	ITPR2	1	1
E2F1_UP.V1_DN	SIX5	1	1
E2F1_UP.V1_DN	NDRG4	1	1
E2F1_UP.V1_DN	GADD45A	1	1
E2F1_UP.V1_DN	CD47	1	1
E2F1_UP.V1_DN	TANK	1	1
E2F1_UP.V1_DN	TRIM41	1	1
E2F1_UP.V1_DN	RAP2B	1	1
E2F1_UP.V1_DN	PLK2	1	1
E2F1_UP.V1_DN	CPT1A	1	1
E2F1_UP.V1_DN	SEMA4B	1	1
E2F1_UP.V1_DN	RASA3	1	1
E2F1_UP.V1_DN	GSTA4	1	1
E2F1_UP.V1_DN	IL1R1	1	1
E2F1_UP.V1_DN	PAK3	1	1
E2F1_UP.V1_DN	IDH1	1	1
E2F1_UP.V1_DN	MMP7	1	1
E2F1_UP.V1_DN	APC2	1	1
E2F1_UP.V1_DN	UNC93B1	1	1
E2F1_UP.V1_DN	NOTCH2	1	1
E2F1_UP.V1_DN	GHR	1	1
E2F1_UP.V1_DN	PTDSS2	1	1
E2F1_UP.V1_DN	UBE2H	1	1
E2F1_UP.V1_DN	SASH1	1	1
E2F1_UP.V1_DN	PLIN2	1	1
E2F1_UP.V1_DN	ATP2A3	1	1
E2F1_UP.V1_DN	TGM2	1	1
E2F1_UP.V1_DN	PDZK1IP1	1	1
E2F1_UP.V1_DN	BAG3	1	1
E2F1_UP.V1_DN	LAMA4	1	1
E2F1_UP.V1_DN	GFRA1	1	1
E2F1_UP.V1_DN	CCND2	1	1
E2F1_UP.V1_DN	ARL4D	1	1
E2F1_UP.V1_DN	MX1	1	1
E2F1_UP.V1_DN	NFKB1	1	1
E2F1_UP.V1_DN	EVI2A	1	1
E2F1_UP.V1_DN	GBP2	1	1
E2F1_UP.V1_DN	TCF4	1	1
E2F1_UP.V1_DN	HLA-E	1	1
E2F1_UP.V1_DN	CRIP2	1	1
E2F1_UP.V1_DN	ERBB3	1	1
E2F1_UP.V1_DN	STAC	1	1
E2F1_UP.V1_DN	PHLDA1	1	1
E2F1_UP.V1_DN	MCL1	1	1
E2F1_UP.V1_DN	EPS8	1	1
E2F1_UP.V1_DN	SGK1	1	1
E2F1_UP.V1_DN	ANXA4	1	1
E2F1_UP.V1_DN	CAPN2	1	1
E2F1_UP.V1_DN	SDPR	1	1
E2F1_UP.V1_DN	CALML4	1	1
E2F1_UP.V1_DN	DCAF8	1	1
E2F1_UP.V1_DN	IL6ST	1	1
E2F1_UP.V1_DN	PTGS1	1	1
E2F1_UP.V1_DN	ZMYND8	1	1
E2F1_UP.V1_DN	STX4	1	1
E2F1_UP.V1_DN	ZFR2	1	1
