regulator	target	mor	likelihood
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PLAU	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MYC	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNFRSF9	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SGK1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TNIP1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NAMPT	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	FOSL2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PNRC1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ID2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CD69	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL7R	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	EFNA1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PHLDA2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PFKFB3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CCL5	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	YRDC	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IFNGR2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SQSTM1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BTG3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GADD45B	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KYNU	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	G0S2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	BTG1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MCL1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	VEGFA	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MAP2K3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CDKN1A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CYR61	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TANK	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IFIT2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IL18	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TUBB2A	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	IRF1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	FOS	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	OLR1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RHOB	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	AREG	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	NINJ1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	ZBTB10	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PPAP2B	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF4	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CXCL11	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	SAT1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CSF1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	GPR183	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PMEPA1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	PTPRE	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TLR2	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CXCR7	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF10	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	MARCKS	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	LAMB3	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	CEBPB	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TRIP10	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	F2RL1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	KLF9	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	LDLR	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	TGIF1	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	RNF19B	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	DRAM1	1	1
